"","repl","ev_long","ev_lat","perform","vol","proportion"
"1",1,1,-80.63282,1,15.3227945962867,1.00000029996409
"2",2,1,-79.65397,1,15.3227945962867,1.00000029996409
"3",3,1,-78.895548,0,13.5956138366774,0.887280569444427
"4",4,1,-78.805594,1,15.3227945962867,1.00000029996409
"5",5,1,-76.491111,1,15.3227945962867,1.00000029996409
"6",6,1,-76.112905,0,15.1791498108033,0.990625715734754
"7",7,1,-76.04732,1,15.3227945962867,1.00000029996409
"8",8,1,-75.997544,1,15.3227945962867,1.00000029996409
"9",9,1,-75.987027,1,15.3227945962867,1.00000029996409
"10",10,1,-75.70537,1,15.3227945962867,1.00000029996409
"11",11,1,-73.827843,0,15.322295848463,0.999967750550848
"12",12,1,-73.251633,1,15.3227945962867,1.00000029996409
"13",13,1,-73.134699,0,15.2969408385831,0.998313025146404
"14",14,1,-72.614288,1,15.3227945962867,1.00000029996409
"15",15,1,-72.279309,1,15.3227945962867,1.00000029996409
"16",16,1,-72.044594,0,15.1260481330297,0.987160179903898
"17",17,1,-71.967463,0,14.8031595628392,0.966087740081229
"18",18,1,-69.1833326,1,15.3227945962867,1.00000029996409
"19",19,1,-67.058698,1,15.3227945962867,1.00000029996409
"20",20,1,-64.868305,0,14.8315642848918,0.967941496613334
"21",21,1,-64.4719,1,15.3227945962867,1.00000029996409
"22",22,1,-64.305034,0,14.6914304525944,0.958796045145459
"23",23,1,-60.021731,0,14.7459245946879,0.962352456353438
"24",24,1,-56.096823,0,15.2117737929384,0.992754830741557
"25",25,1,-56.08516,1,15.3227945962867,1.00000029996409
"26",26,1,-56.024998,1,15.3227945962867,1.00000029996409
"27",27,1,-55.415717,1,15.3227945962867,1.00000029996409
"28",28,1,-52.058244,0,15.2839183580847,0.997463148557453
"29",29,1,-51.432111,0,14.0277895334664,0.915485334816073
"30",30,1,-50.355943,1,15.3227945962867,1.00000029996409
"31",31,1,-49.327687,0,14.5447311819,0.949222118289162
"32",32,1,-47.876062,0,14.8559736066113,0.969534504265302
"33",33,1,-47.810324,0,14.8207973661248,0.967238823094538
"34",34,1,-47.601977,1,15.3227945962867,1.00000029996409
"35",35,1,-39.065366,1,15.3227945962867,1.00000029996409
