"","x"
"mean",0.632
"sd",0.171951583123784
"pxls_tot",141795
"pxls_median6",122456
"pxls_max6.97.5%",142789.8
"pxls_min6.2.5%",84498.575
"cor_perf_vol.cor",0.67491152076479
"cor_pe",7.65256127167413e-08
