"","replicate","perform","vol","proportion"
"1",1,0.633333333333333,11.9204696618411,0.594679192279147
"2",2,0.633333333333333,13.7590797282341,0.686402352541782
"3",3,0.833333333333333,17.4070544730908,0.86838970172069
"4",4,0.7,17.9111523284141,0.893537746549236
"5",5,0.833333333333333,18.7687201851788,0.936319430061081
"6",6,0.866666666666667,20.1287082282195,1.00416546414258
"7",7,1,21.015938318141,1.04842691425383
"8",8,0.966666666666667,21.3275664578414,1.06397317842509
"9",9,0.7,16.5070858284683,0.823492760421988
"10",10,0.733333333333333,18.7585903728709,0.935814081801147
"11",11,0.733333333333333,14.7897426517111,0.737819269176143
"12",12,0.733333333333333,16.1653063289553,0.806442328478137
"13",13,0.966666666666667,19.8781478865396,0.991665703157121
"14",14,0.9,20.650784625959,1.03021040862237
"15",15,0.6,14.15652056349,0.706229574253126
"16",16,0.833333333333333,16.9317139991086,0.844676282942386
"17",17,0.8,16.3483116603305,0.815571957237092
"18",18,0.866666666666667,18.3388892647508,0.914876356773879
"19",19,0.866666666666667,18.5705890409371,0.926435216421398
"20",20,0.933333333333333,21.1113791925444,1.05318819495087
"21",21,0.6,10.1440444811695,0.506058263611563
"22",22,0.533333333333333,11.3344202878501,0.565442813323686
"23",23,1,20.6756068053277,1.03144871835314
"24",24,0.9,19.570252534329,0.976305657407817
"25",25,0.866666666666667,19.9368505351412,0.994594215593744
"26",26,0.8,15.2821408860631,0.762383652341474
"27",27,0.766666666666667,17.89223601758,0.892594064230772
"28",28,0.666666666666667,13.2724933063838,0.662127904593957
"29",29,0.933333333333333,21.603581099984,1.07774278391069
"30",30,0.666666666666667,18.7496424978172,0.93536769711493
"31",31,0.666666666666667,16.9872475186541,0.847446696314053
"32",32,0.833333333333333,18.4795181139404,0.921891940288589
"33",33,0.833333333333333,19.8919986888111,0.992356681293128
"34",34,1,20.9175019345092,1.04351619590383
"35",35,0.333333333333333,8.82146422832382,0.440078400502281
"36",36,0.966666666666667,20.5499165726267,1.02517838101071
"37",37,0.9,17.4981224106092,0.872932828716713
"38",38,0.6,18.8422094615413,0.939985606373608
"39",39,0.666666666666667,15.4380699387921,0.770162520604234
"40",40,0.7,12.67117468949,0.632129785430793
"41",41,0.7,14.9151931086575,0.744077644770752
"42",42,0.7,14.4275558129812,0.71975077164039
"43",43,0.566666666666667,16.1883131671664,0.80759007587001
"44",44,0.533333333333333,13.6352415609861,0.680224409611549
"45",45,0.8,17.4383664345974,0.869951768695034
"46",46,0.366666666666667,11.2962307189725,0.563537641579798
"47",47,0.733333333333333,16.9122119520089,0.843703379865074
"48",48,0.833333333333333,18.199713570926,0.907933267152705
"49",49,0.733333333333333,16.2600896086545,0.811170803598
"50",50,0.8,19.2537549967907,0.960516472474599
