"cod","country","second","pop_risk","pop_tot","incid"
"PER-581","Peru","Pasco",975.57221971957,3786.98353560468,0.257611951714967
"PER-582","Peru","San Martín",6522.27418075465,10557.9132266494,0.617761677022657
"PER-583","Peru","Ucayali",5924.25114076942,5924.25114076942,1
"PER-584","Peru","Amazonas",3223.82086768729,4594.25458953931,0.701707057120349
"PER-585","Peru","Loreto",11796.5392510293,11905.1927709464,0.990873434642544
"PER-586","Peru","Ayacucho",1303.81430903883,7945.28090229089,0.164099208709273
"PER-587","Peru","Lima Province",0,102898.447457109,0
"PER-588","Peru","Huancavelica",103.548720526797,5917.35688406725,0.0174991508126892
"PER-589","Peru","Ica",5037.4298542881,8820.99433923447,0.571072790726365
"PER-590","Peru","Junín",5468.19849814421,15906.4526235593,0.343772343686811
"PER-591","Peru","Lima",2085.79332302994,12128.2204315021,0.171978513650054
"PRI-5260","Puerto Rico","Puerto Rico",35241.4719271699,35241.4719271699,1
"PRY-4837","Paraguay","Asunción",5398.63354721893,5398.63354721893,1
"PRY-597","Paraguay","Alto Paraguay",65.9992991789491,247.097403715459,0.26709831097598
"PRY-598","Paraguay","Boquerón",175.899285636171,687.67462624177,0.255788535629827
"PRY-603","Paraguay","Concepción",1475.82036118149,2152.00433802386,0.685788748240491
"PRY-604","Paraguay","Cordillera",3019.82769303796,3019.82769303796,1
"PRY-605","Paraguay","Presidente Hayes",1809.7914272535,2516.78773041877,0.719087829847441
"PRY-606","Paraguay","San Pedro",4618.78947353027,4660.53515725365,0.991042727430475
"PRY-607","Paraguay","Central",20765.3424464385,20765.3424464385,1
"PRY-608","Paraguay","Guairá",2233.19466425844,2233.19466425844,1
"PRY-609","Paraguay","Misiones",1259.44485508975,1259.44485508975,1
"PRY-610","Paraguay","Ñeembucú",852.254664359054,852.254664359054,1
"PRY-611","Paraguay","Paraguarí",2316.47703195989,2316.47703195989,1
"PRY-615","Paraguay","Amambay",1917.77256329919,1917.77256329919,1
"PRY-616","Paraguay","Alto Paraná",2993.87417674795,10188.5343562186,0.293847384920543
"PRY-617","Paraguay","Caaguazú",5984.21570702042,5984.21570702042,1
"PRY-618","Paraguay","Caazapá",1967.35261474718,1967.35261474718,1
"PRY-619","Paraguay","Canindeyú",2449.50831515286,2559.07906016744,0.957183524839047
"PRY-620","Paraguay","Itapúa",7101.58918270258,7101.58918270258,1
"SGS+00?","South Georgia and South Sandwich Islands","South Georgia and the South Sandwich Islands",0,0,0
"SLV-1343","El Salvador","Ahuachapán",1893.71377989669,3294.81706441994,0.574755363612298
"SLV-1344","El Salvador","Cabañas",889.153202841311,1742.71102176998,0.510212646694715
"SLV-1345","El Salvador","Cuscatlán",619.129711760017,3012.16874362772,0.205542837887085
"SLV-1346","El Salvador","La Libertad",1757.65431555174,9568.14068322788,0.183698627951066
"SLV-1347","El Salvador","La Paz",0,3742.34007175155,0
"SLV-1348","El Salvador","Sonsonate",845.316322469593,5630.85751079448,0.150122129861944
"SLV-1349","El Salvador","San Salvador",792.736210180501,15678.8141595911,0.0505609800659295
"SLV-1350","El Salvador","La Unión",428.12317445408,1788.56993656664,0.239366191783314
"SLV-1351","El Salvador","Morazán",249.495932508174,1724.02347494568,0.14471724784144
"SLV-1352","El Salvador","San Miguel",0,5200.27356981077,0
"SLV-1353","El Salvador","San Vicente",0,2198.57699044817,0
"SLV-1354","El Salvador","Usulután",44.0209465226071,3433.88364110862,0.0128195801382469
"SLV-1357","El Salvador","Chalatenango",1967.67807254298,2011.19588122941,0.978362222649424
"SLV-1358","El Salvador","Santa Ana",5760.3551822156,6028.53359041118,0.955515150712251
"SPM-4866","Saint Pierre and Miquelon","Saint-Pierre",0,41.1453020455046,0
