"","X5m_mean_00s_bio1","X5m_mean_00s_bio12","X5m_mean_00s_bio7","cat"
"mean",26.1972899728997,0.019179701897019,7.80027100271003,"north"
"sd",0.516513420984192,0.00072816264309986,0.623389169614569,"north"
