"","X5m_mean_00s_bio1","X5m_mean_00s_bio12","X5m_mean_00s_bio7","cat"
"mean",22.1295285359801,0.00902379652605459,36.6498759305211,"south"
"sd",4.02610839175299,0.000787978854356686,1.90999433056159,"south"
